episode,avg_len,loss,vs_greedy_wr
2560,57.9,0.0361,0.4310
5120,73.0,0.0000,0.4225
7680,86.2,-0.0074,0.4450
10240,78.6,0.0000,0.4710
12800,78.3,-0.0095,0.4805
15360,87.3,0.0000,0.4790
17920,86.6,-0.0158,0.4430
20480,94.6,0.0000,0.4730
22528,87.2,-0.0105,0.4640
25088,83.6,0.0000,0.4600
27648,88.7,-0.0233,0.4825
30208,92.6,0.0000,0.4905
32768,92.2,-0.0196,0.5035
35328,80.3,0.0000,0.4955
37888,78.0,-0.0084,0.4890
40448,91.9,0.0000,0.4785
43008,94.2,0.0000,0.4900
45056,88.5,0.0000,0.5105
47616,84.7,-0.0076,0.5205
50176,82.3,0.0000,0.4925
52736,82.2,-0.0025,0.4880
55296,88.9,0.0000,0.4910
57856,81.0,0.0022,0.5080
60416,79.4,0.0000,0.5080
62976,81.4,0.0004,0.5215
65024,81.2,0.0000,0.5030
67584,71.8,0.0157,0.5365
70144,69.9,0.0000,0.5255
72704,73.3,0.0089,0.4995
75264,74.3,0.0000,0.5510
77824,72.4,0.0132,0.5160
80384,72.6,0.0000,0.5305
82944,73.1,0.0048,0.5310
85504,78.4,0.0000,0.5140
87552,82.7,0.0012,0.4965
90112,79.8,0.0000,0.5240
92672,77.8,0.0167,0.5065
95232,72.2,0.0000,0.5235
97792,74.3,0.0153,0.5255
100352,73.7,0.0000,0.5240
102912,72.8,0.0185,0.5255
105472,79.8,0.0000,0.5095
107520,80.6,0.0114,0.5205
110080,81.1,0.0000,0.5150
112640,79.4,0.0114,0.5210
115200,77.4,0.0000,0.5260
117760,76.8,0.0166,0.5035
120320,78.9,0.0000,0.5110
122880,76.0,0.0175,0.5320
125440,70.4,0.0000,0.5350
128000,71.3,0.0000,0.5405
130048,70.8,0.0000,0.5350
132608,68.1,0.0305,0.5465
135168,66.7,0.0000,0.5445
137728,72.2,0.0138,0.5240
140288,72.2,0.0000,0.5385
142848,68.9,0.0257,0.5570
145408,63.7,0.0000,0.5575
147968,64.7,0.0315,0.5415
150016,67.4,0.0000,0.5540
152576,65.1,0.0356,0.5365
155136,67.3,0.0000,0.5415
157696,67.1,0.0333,0.5475
160256,65.8,0.0000,0.5550
162816,65.2,0.0412,0.5530
165376,62.4,0.0000,0.5495
167936,60.4,0.0413,0.5500
170496,60.9,0.0000,0.5535
172544,59.8,0.0437,0.5590
175104,65.4,0.0000,0.5575
177664,63.4,0.0413,0.5615
180224,64.2,0.0000,0.5590
182784,64.5,0.0346,0.5520
185344,65.6,0.0000,0.5415
187904,62.7,0.0443,0.5470
190464,63.2,0.0000,0.5545
